StopName;Boarded;Alighted;TotalFlow
CERKAMED-01;44;7;51
WRZOSOWA - SKAMAT-01;48;1;49
WOLINA-02;1;46;47
JODŁOWA-02;3;43;46
NOWA WIEŚ-02;0;46;46
OBOJNA - CENTRALNA-01;44;1;45
NISKO - WOLNOŚCI-01;25;18;43
NOWA WIEŚ - PKS-01;37;2;39
PRZEMYSŁOWA - BOCZNA-01;8;29;37
SOSNOWA - I-02;22;12;34
ZBYDNIÓW - KARCZMISKA-01;33;1;34
WRZOSOWA - SKAMAT-02;0;33;33
1-go SIERPNIA-SZKOŁA IM.T.KOŚCIUSZKI-01;0;32;32
WRZOSOWA - PRZEDSZKOLE-01;32;0;32
NOWA WIEŚ - PKS-02;1;30;31
SIKORSKIEGO-02;1;29;30
SOSNOWA - I-01;21;9;30
ZBYDNIÓW - KARCZMISKA-02;2;27;29
NOWA WIEŚ - I-01;26;0;26
PALENIE-01;0;24;24
SOSNOWA-01;19;4;23
SOSNOWA-02;7;16;23
PILCHÓW - II-02;0;22;22
RĘDZINY-01;18;0;18
WOLINA-01;14;0;14
PALENIE-02;13;0;13
PILCHÓW - I-01;12;0;12
SANDOMIERSKA - PRZYSTANEK KOLEJOWY-01;12;0;12
SANDOMIERSKA - PRZYSTANEK KOLEJOWY-02;0;10;10
PILCHÓW - II-01;8;1;9
JASNA POLANA-02;9;0;9
NISKO - WOLNOŚCI PRZYCHODNIA-02;0;9;9
ZJAZD DO ZAJEZDNI Z KŁYŻOWA;4;5;9
ZJAZD DO ZAJEZDNI Z NISKA;2;6;8
PRZEMYSŁOWA - BOCZNA-02;0;7;7
BUKOWA-02;7;0;7
NOWA WIEŚ - I-02;0;7;7
MIŁA-02;7;0;7
GRANICZNA - WIADUKT-02;2;4;6
BUKOWA-01;0;6;6
SOLIDARNOŚCI-01;6;0;6
NISKO - TYSIĄCLECIA BLOKI;3;2;5
GRANICZNA - KOŚCIÓŁ-01;3;1;4
ODLEWNIA-02;0;3;3
MIŁA-01;0;3;3
WRZOSOWA -  PRZEDSZKOLE-02;0;3;3
ZJAZD DO ZAJEZDNI Z AGATÓWKI;1;1;2
ZJAZD DO ZAJEZDNI Z JASTKOWIC;0;2;2
JASNA POLANA-01;0;2;2
SPACEROWA-01;1;0;1
PILCHÓW - I-02;0;1;1
ODLEWNIA-01;0;0;0
